function,optimizer,SEE_A,CI_lo_A,CI_hi_A,SEE_B,CI_lo_B,CI_hi_B,SEE_C,CI_lo_C,CI_hi_C,SEE_D,CI_lo_D,CI_hi_D
Rastrigin,GD,0.9569377990430623,0.9302325581395349,0.9803921568627451,0.2469135802469136,0.21976817042606517,0.2797202797202797,0.970873786407767,0.9478672985781991,0.9900990099009901,0.011383399209486165,0.010072377421904385,0.012993760074150497
Rastrigin,Adam,0.0,0.0,0.0,0.7092198581560284,0.6779661016949152,0.7462686567164178,1.0,1.0,1.0,0.7092198581560284,0.6756756756756757,0.7462686567164178
Rastrigin,RMSProp,1.0,1.0,1.0,0.25510204081632654,0.2244668911335578,0.2928365027500719,1.0,1.0,1.0,0.04872814321398835,0.04084831982718885,0.05798439279867672
Rastrigin,AdaGrad,0.0,0.0,0.0,0.7092198581560284,0.6756756756756757,0.7434944237918216,1.0,1.0,1.0,0.7092198581560284,0.6756756756756757,0.7462686567164178
Rastrigin,AdamW,0.0,0.0,0.0,0.7092198581560284,0.6779661016949152,0.7434944237918216,1.0,1.0,1.0,0.7092198581560284,0.6756756756756757,0.7434944237918216
Rastrigin,SGD_mom,0.9569377990430623,0.9302325581395349,0.9803921568627451,0.24937655860349128,0.22172949002217296,0.28169014084507044,0.970873786407767,0.9478672985781991,0.9900990099009901,0.0032373455559984053,0.0023424735631956076,0.0043535498832951575
Styblinski,GD,0.3838771593090211,0.3710575139146568,0.39840637450199207,0.30627871362940273,0.29282576866764276,0.31950159744408935,0.5633802816901409,0.5249343832020997,0.6060606060606061,0.09797101449275362,0.07503768566421895,0.12363920454545453
Styblinski,Adam,0.0945179584120983,0.09394081728511039,0.09519276534983341,0.11402508551881414,0.11229646266142618,0.11580775911986103,0.6968641114982578,0.6644518272425249,0.7299270072992701,0.11402508551881414,0.1122334455667789,0.11574074074074073
Styblinski,RMSProp,1.0,1.0,1.0,0.6622516556291391,0.6329113924050632,0.6944444444444444,1.0,1.0,1.0,0.4024144869215292,0.3913894324853229,0.41407867494824013
Styblinski,AdaGrad,0.05188067444876784,0.051559680329981955,0.0522056904202558,0.07665772326561901,0.07513148009015777,0.07827788649706457,0.6968641114982578,0.6644518272425249,0.7326007326007326,0.07665772326561901,0.07513077476270669,0.0782472613458529
Styblinski,AdamW,0.09389671361502347,0.09328358208955223,0.0945179584120983,0.11280315848843768,0.11129505794789611,0.11448360829332037,0.6968641114982578,0.6644518272425249,0.7326007326007326,0.11280315848843768,0.11123470522803114,0.1145475372279496
Styblinski,SGD_mom,0.38167938931297707,0.3676470588235294,0.3944773175542406,0.322061191626409,0.3076923076923077,0.33783783783783783,0.5780346820809249,0.5405405405405405,0.6192431205891965,0.15368852459016394,0.1257078272674515,0.18337892137994077
Levy,GD,0.006820506096761505,0.005891661594643944,0.007823179791976225,0.17889087656529518,0.16764459346186086,0.1910265330608622,0.1488095238095238,0.14154281670205238,0.15698587127158556,0.07929878048780488,0.0678202714535902,0.09320497308590517
Levy,Adam,0.042430668841761825,0.03659735349716446,0.048160961398397664,0.3883495145631068,0.3710575139146568,0.40733197556008144,0.30959752321981426,0.30303030303030304,0.3169572107765452,0.1413586956521739,0.12148773006134969,0.1604145728643216
Levy,RMSProp,1.0,1.0,1.0,0.24067388688327315,0.2205071664829107,0.26282073449062865,1.0,1.0,1.0,0.10722513089005235,0.08088081650570676,0.1378533236046435
Levy,AdaGrad,0.002563445523086779,0.002212192195623607,0.002915081147318347,0.39603960396039606,0.3795066413662239,0.4141001520579365,0.30441400304414,0.29850746268656714,0.3105590062111801,0.1390909090909091,0.11965256797583082,0.15632785122027532
Levy,AdamW,0.04331390507910075,0.03748215278779016,0.049181286549707603,0.38986354775828463,0.37243947858473,0.4098360655737705,0.3081664098613251,0.30120481927710846,0.3154698720727993,0.14330578512396697,0.12396421949678625,0.16335322195704055
Levy,SGD_mom,0.07001345895020189,0.06028481735159818,0.07973629453316952,0.2418379685610641,0.22857142857142856,0.25576266246631146,0.21691973969631234,0.20682523267838676,0.22805017103762829,0.108375,0.09139380891441413,0.12471130666538609
Beale,GD,0.425531914893617,0.4115226337448559,0.43956043956043955,0.20409448818897638,0.16419811320754715,0.24429539335434722,0.7518796992481203,0.7092198581560284,0.7968127490039841,0.20081967213114751,0.1612569886202997,0.2430072368421052
Beale,Adam,0.017073587160662457,0.015482182930727739,0.019127910768433277,0.19607843137254904,0.18231540565177756,0.21075371365817003,0.37664783427495296,0.3389830508474576,0.42194092827004215,0.19607843137254904,0.18298261665141813,0.21208907741251326
Beale,RMSProp,1.0,1.0,1.0,0.013940206673503193,0.012074797621629845,0.016200099514627687,0.03648920327624721,0.029339881707100515,0.04843803965935688,0.01392153773436269,0.012234709782605173,0.016257659284885546
Beale,AdaGrad,0.013638085399449036,0.011346831850035117,0.015787643523586258,0.19249278152069296,0.17953321364452424,0.20682523267838676,0.37243947858473,0.33500837520938026,0.4175365344467641,0.19249278152069296,0.1796904866753449,0.20768431983385252
Beale,AdamW,0.016388069485414616,0.014728408278181072,0.018467561973634295,0.1936108422071636,0.17953321364452424,0.20855601585680975,0.37243947858473,0.3338759042849193,0.41841004184100417,0.1936108422071636,0.1798561151079137,0.20964360587002098
Beale,SGD_mom,0.42643923240938164,0.4123711340206186,0.44052863436123346,0.20655038759689923,0.16649992798156327,0.24987356239217937,0.7547169811320755,0.7142857142857143,0.7968127490039841,0.20081967213114751,0.15959383355614973,0.2457554846938775
Schwefel,GD,0.020048115477145148,0.019073049780659927,0.021006307166318447,0.01498576352465158,0.014419558696713344,0.015577567526190873,0.021401819154628143,0.020335536349771227,0.022581264437304037,0.01498576352465158,0.014413349646265205,0.01558728000246383
Schwefel,Adam,0.09425070688030161,0.09367571858362059,0.09492168960607499,0.03292723081988805,0.031347716785748325,0.03467406380027739,0.11737089201877934,0.11627906976744186,0.11848341232227488,0.03292723081988805,0.03142146810249204,0.03475873106112794
Schwefel,RMSProp,1.0,1.0,1.0,0.24630541871921185,0.2304147465437788,0.2645502645502646,1.0,1.0,1.0,0.24630541871921185,0.2304147465437788,0.2645502645502646
Schwefel,AdaGrad,0.059154096421177166,0.05901445854234287,0.05929439667951379,0.008833082989110027,0.007563638768007475,0.010102492620531322,0.08539709649871904,0.08492569002123142,0.0859106529209622,0.008833082989110027,0.007560318488252306,0.010110782865583456
Schwefel,AdamW,0.09315323707498836,0.09225092250922509,0.09416195856873824,0.031431714600031434,0.02971768202080238,0.033311264643050446,0.11661807580174928,0.11534025374855825,0.11792452830188678,0.031431714600031434,0.029761572746010496,0.033283685259525395
Schwefel,SGD_mom,0.05561735261401557,0.053461284099476376,0.05793784729299079,0.043907793633369926,0.04241759062130947,0.045454545454545456,0.058892815076560655,0.055944055944055944,0.06148170919151552,0.043907793633369926,0.04234596654668643,0.04551661356395084
