k,optimizer,best_A,best_B,best_C,best_D
4.1176,AdamW,0.2596046511627907,0.4662004662004662,0.6006006006006006,0.46511627906976744
4.1176,SGD_Nesterov,0.9756097560975611,0.5988023952095809,1.0,0.5952380952380952
4.1176,Lion,0.0,0.24630541871921185,0.35335689045936397,0.24630541871921185
4.7059,GD_fixed,0.970873786407767,0.5586592178770949,0.9950248756218907,0.5586592178770949
4.7059,Adam,0.27553625377643504,0.4618937644341801,0.6006006006006006,0.4608294930875576
4.7059,RMSProp,1.0,0.3846153846153846,0.7272727272727273,0.3846153846153846
4.7059,AdaGrad,0.005208333333333334,0.4535147392290249,0.591715976331361,0.4535147392290249
4.7059,AdamW,0.26857142857142857,0.4618937644341801,0.6006006006006006,0.4608294930875576
4.7059,SGD_Nesterov,0.9852216748768474,0.49504950495049505,1.0,0.48899755501222497
4.7059,Lion,0.0,0.24449877750611249,0.3552397868561279,0.24449877750611249
5.2941,GD_fixed,0.9756097560975611,0.5847953216374269,1.0,0.5847953216374269
5.2941,Adam,0.28261760242792106,0.4629629629629629,0.6097560975609756,0.4629629629629629
5.2941,RMSProp,1.0,0.3861003861003861,0.7380073800738007,0.3861003861003861
5.2941,AdaGrad,0.004210526315789474,0.4566210045662101,0.6060606060606061,0.4566210045662101
5.2941,AdamW,0.2751206636500754,0.4629629629629629,0.6097560975609756,0.4629629629629629
5.2941,SGD_Nesterov,0.9852216748768474,0.351072695035461,1.0,0.3498321554770318
5.2941,Lion,0.0,0.24479804161566707,0.3623188405797102,0.24479804161566707
5.8824,GD_fixed,0.9756097560975611,0.6116207951070336,1.0,0.6116207951070336
5.8824,Adam,0.28012158054711245,0.4629629629629629,0.6172839506172839,0.4629629629629629
5.8824,RMSProp,1.0,0.3868471953578337,0.7434944237918216,0.3868471953578337
5.8824,AdaGrad,0.004210526315789474,0.4566210045662101,0.6024096385542169,0.4566210045662101
5.8824,AdamW,0.2835692307692308,0.4629629629629629,0.6172839506172839,0.4629629629629629
5.8824,SGD_Nesterov,0.9852216748768474,0.2785515320334262,1.0,0.2785515320334262
